c91f57c9-8a85-4f7e-9013-e1aa8833909f,59,120,1157.3
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,0,18,130.38
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,19,23,170.87
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,24,28,195.92
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,29,33,218.97
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,34,38,229.73
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,39,43,259.09
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,44,48,315.24
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,49,53,433.57
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,54,58,583.97
4ee6f601-f7bd-4fe8-9a5e-928244d2f0ed,59,120,758.01
d8770b93-25d3-40c5-ac02-e9945ea974f8,0,18,168.34
d8770b93-25d3-40c5-ac02-e9945ea974f8,19,23,220.98
d8770b93-25d3-40c5-ac02-e9945ea974f8,24,28,253.55
d8770b93-25d3-40c5-ac02-e9945ea974f8,29,33,283.51
d8770b93-25d3-40c5-ac02-e9945ea974f8,34,38,297.49
d8770b93-25d3-40c5-ac02-e9945ea974f8,39,43,335.66
d8770b93-25d3-40c5-ac02-e9945ea974f8,44,48,408.66
d8770b93-25d3-40c5-ac02-e9945ea974f8,49,53,562.49
d8770b93-25d3-40c5-ac02-e9945ea974f8,54,58,758
d8770b93-25d3-40c5-ac02-e9945ea974f8,59,120,984.26
735c16a6-e29e-4d32-b040-0afff119aea3,0,18,162.67
735c16a6-e29e-4d32-b040-0afff119aea3,19,23,182.19
735c16a6-e29e-4d32-b040-0afff119aea3,24,28,204.05
735c16a6-e29e-4d32-b040-0afff119aea3,29,33,234.66
735c16a6-e29e-4d32-b040-0afff119aea3,34,38,269.86
735c16a6-e29e-4d32-b040-0afff119aea3,39,43,321.13
735c16a6-e29e-4d32-b040-0afff119aea3,44,48,401.41
735c16a6-e29e-4d32-b040-0afff119aea3,49,53,501.76
735c16a6-e29e-4d32-b040-0afff119aea3,54,58,852.99
735c16a6-e29e-4d32-b040-0afff119aea3,59,120,955.35
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,0,18,243.23
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,19,23,272.42
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,24,28,305.11
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,29,33,350.88
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,34,38,403.51
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,39,43,480.18
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,44,48,600.23
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,49,53,750.29
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,54,58,1275.49
e640d1cb-ee0c-4d8e-8bc4-aaf83cac8e65,59,120,1428.55
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,0,18,120.88
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,19,23,135.39
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,24,28,151.64
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,29,33,174.39
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,34,38,200.55
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,39,43,238.65
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,44,48,298.31
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,49,53,372.89
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,54,58,633.91
a4bd7a55-b3c4-455f-ac76-7005ef5f780c,59,120,709.98
77d88f80-a856-4fde-9d05-160f2bfcf6c8,0,18,180.58
77d88f80-a856-4fde-9d05-160f2bfcf6c8,19,23,202.25
77d88f80-a856-4fde-9d05-160f2bfcf6c8,24,28,226.52
77d88f80-a856-4fde-9d05-160f2bfcf6c8,29,33,260.5
77d88f80-a856-4fde-9d05-160f2bfcf6c8,34,38,299.58
77d88f80-a856-4fde-9d05-160f2bfcf6c8,39,43,356.5
77d88f80-a856-4fde-9d05-160f2bfcf6c8,44,48,445.63
77d88f80-a856-4fde-9d05-160f2bfcf6c8,49,53,557.04
77d88f80-a856-4fde-9d05-160f2bfcf6c8,54,58,946.97
77d88f80-a856-4fde-9d05-160f2bfcf6c8,59,120,1060.61
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,00,18,131.3
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,19,23,147.06
4f89ccd7-d737-4d0f-ba10-55d764a61ba5,24,28,164.71
